19920901|September 1, 1992|Wednesday|September|1992|199209|Sep1992|4|1|245|9|36|Fall|0|1|0|1|
19920902|September 2, 1992|Thursday|September|1992|199209|Sep1992|5|2|246|9|36|Fall|0|1|0|1|
19920903|September 3, 1992|Friday|September|1992|199209|Sep1992|6|3|247|9|36|Fall|0|1|0|1|
19920904|September 4, 1992|Saturday|September|1992|199209|Sep1992|7|4|248|9|36|Fall|1|1|0|0|
19920905|September 5, 1992|Sunday|September|1992|199209|Sep1992|1|5|249|9|36|Fall|0|1|0|0|
19920906|September 6, 1992|Monday|September|1992|199209|Sep1992|2|6|250|9|36|Fall|0|1|0|1|
19920907|September 7, 1992|Tuesday|September|1992|199209|Sep1992|3|7|251|9|36|Fall|0|1|0|1|
19920908|September 8, 1992|Wednesday|September|1992|199209|Sep1992|4|8|252|9|37|Fall|0|1|0|1|
19920909|September 9, 1992|Thursday|September|1992|199209|Sep1992|5|9|253|9|37|Fall|0|1|0|1|
19920910|September 10, 1992|Friday|September|1992|199209|Sep1992|6|10|254|9|37|Fall|0|1|0|1|
19920911|September 11, 1992|Saturday|September|1992|199209|Sep1992|7|11|255|9|37|Fall|1|1|0|0|
19920912|September 12, 1992|Sunday|September|1992|199209|Sep1992|1|12|256|9|37|Fall|0|1|0|0|
19920913|September 13, 1992|Monday|September|1992|199209|Sep1992|2|13|257|9|37|Fall|0|1|0|1|
19920914|September 14, 1992|Tuesday|September|1992|199209|Sep1992|3|14|258|9|37|Fall|0|1|0|1|
19920915|September 15, 1992|Wednesday|September|1992|199209|Sep1992|4|15|259|9|38|Fall|0|1|0|1|
19920916|September 16, 1992|Thursday|September|1992|199209|Sep1992|5|16|260|9|38|Fall|0|1|0|1|
19920917|September 17, 1992|Friday|September|1992|199209|Sep1992|6|17|261|9|38|Fall|0|1|0|1|
19920918|September 18, 1992|Saturday|September|1992|199209|Sep1992|7|18|262|9|38|Fall|1|1|0|0|
19920919|September 19, 1992|Sunday|September|1992|199209|Sep1992|1|19|263|9|38|Fall|0|1|0|0|
19920920|September 20, 1992|Monday|September|1992|199209|Sep1992|2|20|264|9|38|Fall|0|1|1|1|
19920921|September 21, 1992|Tuesday|September|1992|199209|Sep1992|3|21|265|9|38|Fall|0|1|0|1|
19920922|September 22, 1992|Wednesday|September|1992|199209|Sep1992|4|22|266|9|39|Fall|0|1|0|1|
19920923|September 23, 1992|Thursday|September|1992|199209|Sep1992|5|23|267|9|39|Fall|0|1|0|1|
19920924|September 24, 1992|Friday|September|1992|199209|Sep1992|6|24|268|9|39|Fall|0|1|0|1|
19920925|September 25, 1992|Saturday|September|1992|199209|Sep1992|7|25|269|9|39|Fall|1|1|0|0|
19920926|September 26, 1992|Sunday|September|1992|199209|Sep1992|1|26|270|9|39|Fall|0|1|0|0|
19920927|September 27, 1992|Monday|September|1992|199209|Sep1992|2|27|271|9|39|Fall|0|1|0|1|
19920928|September 28, 1992|Tuesday|September|1992|199209|Sep1992|3|28|272|9|39|Fall|0|1|0|1|
19920929|September 29, 1992|Wednesday|September|1992|199209|Sep1992|4|29|273|9|40|Fall|0|1|0|1|
19920930|September 30, 1992|Thursday|September|1992|199209|Sep1992|5|30|274|9|40|Fall|0|0|0|1|
19921001|Octorber 1, 1992|Friday|Octorber|1992|199210|Oct1992|6|1|275|10|40|Fall|0|1|0|1|
19921002|Octorber 2, 1992|Saturday|Octorber|1992|199210|Oct1992|7|2|276|10|40|Fall|1|1|0|0|
19921003|Octorber 3, 1992|Sunday|Octorber|1992|199210|Oct1992|1|3|277|10|40|Fall|0|1|0|0|
19921004|Octorber 4, 1992|Monday|Octorber|1992|199210|Oct1992|2|4|278|10|40|Fall|0|1|0|1|
19921005|Octorber 5, 1992|Tuesday|Octorber|1992|199210|Oct1992|3|5|279|10|40|Fall|0|1|0|1|
19921006|Octorber 6, 1992|Wednesday|Octorber|1992|199210|Oct1992|4|6|280|10|41|Fall|0|1|0|1|
19921007|Octorber 7, 1992|Thursday|Octorber|1992|199210|Oct1992|5|7|281|10|41|Fall|0|1|0|1|
19921008|Octorber 8, 1992|Friday|Octorber|1992|199210|Oct1992|6|8|282|10|41|Fall|0|1|0|1|
19921009|Octorber 9, 1992|Saturday|Octorber|1992|199210|Oct1992|7|9|283|10|41|Fall|1|1|0|0|
19921010|Octorber 10, 1992|Sunday|Octorber|1992|199210|Oct1992|1|10|284|10|41|Fall|0|1|0|0|
19921011|Octorber 11, 1992|Monday|Octorber|1992|199210|Oct1992|2|11|285|10|41|Fall|0|1|0|1|
19921012|Octorber 12, 1992|Tuesday|Octorber|1992|199210|Oct1992|3|12|286|10|41|Fall|0|1|0|1|
19921013|Octorber 13, 1992|Wednesday|Octorber|1992|199210|Oct1992|4|13|287|10|42|Fall|0|1|0|1|
19921014|Octorber 14, 1992|Thursday|Octorber|1992|199210|Oct1992|5|14|288|10|42|Fall|0|1|0|1|
19921015|Octorber 15, 1992|Friday|Octorber|1992|199210|Oct1992|6|15|289|10|42|Fall|0|1|0|1|
19921016|Octorber 16, 1992|Saturday|Octorber|1992|199210|Oct1992|7|16|290|10|42|Fall|1|1|0|0|
19921017|Octorber 17, 1992|Sunday|Octorber|1992|199210|Oct1992|1|17|291|10|42|Fall|0|1|0|0|
